card_id,name,issuer_key,network,currency,is_business,annual_fee,first_year_fee_waived,base_earn_pct,bonus_amount,bonus_value_usd,bonus_spend,bonus_days,counts_toward_524,point_value_cents,url,discontinued,tccp_product_id
2878b32104d7bf242496a8af56f33952,Atmos Rewards Summit,BANK_OF_AMERICA,VISA,ALASKA,false,395.0,false,1.0,100000,1000.0,6000,90,true,1.0,https://www.alaskaair.com/atmosrewards/content/credit-cards,false,bank-of-america-atmos-rewards-summit-visa-infinite
9e42d6cf9c6dcfda0cf7d5f5f015285d,Atmos Rewards Business,BANK_OF_AMERICA,VISA,ALASKA,true,95.0,false,1.0,80000,800.0,4000,120,false,1.0,https://www.alaskaair.com/atmosrewards/content/credit-cards,false,
bb54057b74adc9514885254a82fd8634,AAdvantage Aviator Red World Elite,BARCLAYS,MASTERCARD,AMERICAN,false,99.0,false,1.0,,,,,true,1.0,https://cards.barclaycardus.com/banking/cards/aadvantage-aviator-red-world-elite-mastercard/,false,barclays-bank-delaware-aadvantage-aviator-red-world-elite-mastercard
4b3dee677718c19aace2e927e6e26704,AAdvantage Aviator World Elite Business,BARCLAYS,MASTERCARD,AMERICAN,true,95.0,false,1.0,,,,,false,1.0,https://creditcards.aa.com/barclay-credit-card-aviator-business-american-airlines-aadvantage/,false,
f2fcdd7db964fb3c55f6df704f5678c8,AARP Essential Rewards,BARCLAYS,MASTERCARD,USD,false,0.0,false,1.0,100,100.0,500,90,true,,https://www.aarp.org/membership/benefits/finance/aarp-essential-rewards-mastercard-from-barclays/,false,barclays-bank-delaware-aarp-essential-rewards-mastercard-from-barclays
fc80c887a321dde1faa7e9282c813683,AARP Travel Rewards,BARCLAYS,MASTERCARD,USD,false,0.0,false,1.0,100,100.0,500,90,true,,https://www.aarp.org/membership/benefits/finance/aarp-travel-rewards-mastercard-from-barclays/,false,barclays-bank-delaware-aarp-travel-rewards-mastercard-from-barclays
eddb365c3098a64170b9e4fb322b2a05,Carnival World Mastercard,BARCLAYS,MASTERCARD,CARNIVAL,false,0.0,false,1.0,20000,200.0,1000,90,true,1.0,https://cards.barclaycardus.com/banking/cards/carnival-world-mastercard/,false,barclays-bank-delaware-carnival-world-mastercard
990a75f557890d22402183b20a8fe09d,Emirates Skywards Premium World Elite,BARCLAYS,MASTERCARD,EMIRATES,false,499.0,false,1.0,70000,700.0,3000,90,true,1.0,https://cards.barclaycardus.com/banking/cards/emirates-skywards-premium-world-elite-mastercard/,false,barclays-bank-delaware-emirates-skywards-premium-world-elite-mastercard
e33253806e1da76436e527e3c7b6179d,Emirates Skywards Rewards World Elite,BARCLAYS,MASTERCARD,EMIRATES,false,99.0,false,1.0,40000,400.0,3000,90,true,1.0,https://cards.barclaycardus.com/banking/cards/emirates-skywards-rewards-world-elite-mastercard/,false,barclays-bank-delaware-emirates-skywards-rewards-world-elite-mastercard
e33d8701c8e81d5befe82ec5ed5cda23,Frontier Airlines World,BARCLAYS,MASTERCARD,FRONTIER,false,89.0,true,1.0,50000,500.0,500,90,true,1.0,https://cards.barclaycardus.com/banking/cards/frontier-airlines-world-mastercard/,false,barclays-bank-delaware-frontier-airlines-world-mastercard
44effaf95f470d31302d6f366207a543,Hawaiian Airlines World Elite,BARCLAYS,MASTERCARD,HAWAIIAN,false,99.0,false,1.0,80000,800.0,5000,90,true,1.0,https://cards.barclaycardus.com/banking/credit-card/hawaiian-airlines/child/hawaiian-hcl-inflight-landing-page/,false,barclays-bank-delaware-hawaiian-world-elite-mastercard
d760441e47fada8604f084285fbaeb39,JetBlue,BARCLAYS,MASTERCARD,JETBLUE,false,0.0,false,1.0,10000,100.0,1000,90,true,1.0,https://cards.barclaycardus.com/banking/cards/jetblue-card/,false,barclays-bank-delaware-jetblue-mastercard
499685453910108ad817d64f9728eb46,JetBlue Business,BARCLAYS,MASTERCARD,JETBLUE,true,99.0,false,1.0,60000,600.0,6000,365,false,1.0,https://cards.barclaycardus.com/banking/cards/jetblue-business-card/,false,
fafac50a80daae929873eca389fafd15,JetBlue Plus,BARCLAYS,MASTERCARD,JETBLUE,false,99.0,false,1.0,75000,750.0,1000,90,true,1.0,https://cards.barclaycardus.com/banking/cards/jetblue-plus-card/,false,barclays-bank-delaware-jetblue-plus-mastercard
c7698b8b99a60ae3ccdd4d880ff5fe68,JetBlue Premier,BARCLAYS,MASTERCARD,JETBLUE,false,499.0,false,1.0,80000,800.0,5000,90,true,1.0,https://cards.barclaycardus.com/banking/cards/jetblue-premier-card/,false,barclays-bank-delaware-jetblue-premier-mastercard
fdd9a5b1485ab0f88d0abd28c32e3b89,Lufthansa Miles & More,BARCLAYS,MASTERCARD,LUFTHANSA,false,89.0,false,1.0,60000,600.0,3000,90,true,1.0,https://cards.barclaycardus.com/banking/cards/lufthansa-miles-more-world-elite-mastercard,false,barclays-bank-delaware-miles-more-world-elite-mastercard
d0fa846548af110fa31bc7bfa25828df,Upromise,BARCLAYS,MASTERCARD,USD,false,0.0,false,1.0,300,300.0,1000,90,true,,https://cards.barclaycardus.com/banking/cards/upromise-world-mastercard/,false,barclays-bank-delaware-upromise-world-mastercard
6496ff471ffd822105f59ea276547110,Wyndham Rewards Earner,BARCLAYS,VISA,WYNDHAM,false,0.0,false,1.0,30000,270.0,1000,90,true,0.9,https://www.wyndhamrewardscreditcard.com/#earner,false,barclays-bank-delaware-wyndham-rewards-earner-card
ba9027fba78b5ca88e4d9471aa9e31bd,Wyndham Rewards Earner Business,BARCLAYS,VISA,WYNDHAM,true,95.0,false,1.0,45000,405.0,3000,90,false,0.9,https://www.wyndhamrewardscreditcard.com/#earnerbusiness,false,
b910f422064772c65840288c632cf900,Wyndham Rewards Earner Plus,BARCLAYS,VISA,WYNDHAM,false,75.0,false,1.0,45000,405.0,1000,90,true,0.9,https://www.wyndhamrewardscreditcard.com/#earnerplus,false,barclays-bank-delaware-wyndham-rewards-earner-plus-card
9cbc127f6a0a485b64a7ddb5ed52d931,Hawaiian Airlines World Elite Business,BARCLAYS,MASTERCARD,HAWAIIAN,true,99.0,false,1.0,50000,500.0,4000,90,false,1.0,https://cards.barclaycardus.com/banking/credit-card/hawaiian-airlines/combo-app/hawaiian-bha-boh---combo-app/,false,
b52f6b684aec5d5b2465c27e6ccd1adc,Breeze,BARCLAYS,VISA,BREEZE,false,89.0,false,1.0,30000,300.0,1000,90,true,1.0,https://cards.barclaycardus.com/banking/cards/breeze-airways/,false,barclays-bank-delaware-breeze-easy-visa-signature
274b5ad3d42b14ff81fb588dd8938aa6,Xbox,BARCLAYS,MASTERCARD,BARCLAYS,false,0.0,false,1.0,5000,50.0,0.01,180,true,1.0,https://cards.barclaycardus.com/banking/cards/xbox-mastercard/,false,
be49d60cb01b9d5c3e919e6c570e9a48,Brex,BREX,MASTERCARD,BREX,false,0.0,false,1.0,,,,,true,1.0,https://www.brex.com/product/credit-card/,false,
fb5e3887059d5d8600b2a5eaed7ddaf7,Marriott Bonvoy Bountiful,CHASE,VISA,MARRIOTT,false,250.0,false,1.0,85000,595.0,4000,90,true,0.7,https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/bountiful,false,jpmorgan-chase-bank-marriott-bonvoy-bountiful-credit-card
918c978a06c7c36f9a321b2efa0ff974,Marriott Bonvoy Bold,CHASE,VISA,MARRIOTT,false,0.0,false,1.0,60000,420.0,1000,90,true,0.7,https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/bold,false,jpmorgan-chase-bank-marriott-bonvoy-bold-credit-card
6a4a30b866d4d37216b9d586a15ad1cc,Marriott Bonvoy Boundless,CHASE,VISA,MARRIOTT,false,95.0,false,1.0,200000,1400.0,4000,120,true,0.7,https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/boundless,false,jpmorgan-chase-bank-marriott-bonvoy-boundless-credit-card
682a4f0c425d15b5ca34214378cfc3de,Southwest Performance Business,CHASE,VISA,SOUTHWEST,true,299.0,false,1.0,80000,800.0,5000,90,false,1.0,https://creditcards.chase.com/business-credit-cards/southwest/performance-business,false,
